date,actual,persistence,climatology,moving_avg,ensemble_v9,ensemble_v10,ensemble_v11
2025-11-14,81.0,76.0,84.43333333333334,82.0,81.45833333333334,82.13333333333333,83.34153618429943
2025-11-15,81.0,78.0,84.16666666666667,81.14285714285714,80.41666666666667,80.94666666666666,82.81736200824389
2025-11-16,82.0,81.0,84.0,80.28571428571429,82.975,80.16,82.49063357676826
2025-11-17,82.0,81.0,83.83333333333333,79.42857142857143,84.13333333333333,79.61333333333333,82.1396429177659
2025-11-18,83.0,82.0,83.73333333333333,78.71428571428571,85.10833333333333,81.25333333333333,81.95347313608951
2025-11-19,84.0,82.0,83.63333333333334,78.28571428571429,85.40833333333335,81.93333333333334,81.79342352673646
2025-11-20,84.0,83.0,83.53333333333333,80.42857142857143,84.53333333333333,82.49333333333334,82.86623013501678
2025-11-21,83.0,84.0,83.4,81.57142857142857,84.15,82.80000000000001,83.36465937048924
2025-11-22,83.0,84.0,83.3,82.42857142857143,83.95,83.12,83.70868769760703
2025-11-23,85.0,83.0,83.13333333333334,82.71428571428571,83.63333333333334,83.17333333333335,83.75818510320659
2025-11-24,84.0,83.0,82.96666666666667,83.0,83.14166666666667,83.22666666666666,83.81823155565635
2025-11-25,83.0,85.0,82.9,83.42857142857143,83.025,83.44,84.00076117602457
2025-11-26,85.0,84.0,82.86666666666666,83.71428571428571,83.01666666666667,83.42666666666666,84.08986706868139
2025-11-27,85.0,83.0,82.73333333333333,83.71428571428571,82.88333333333334,83.25333333333333,84.04394658646913
2025-11-28,75.0,85.0,82.66666666666667,83.85714285714286,82.74166666666667,83.46666666666667,84.10506403943405
2025-11-29,78.0,85.0,82.53333333333333,84.0,82.70833333333333,83.65333333333334,84.11618407626148
2025-11-30,81.0,75.0,82.13333333333334,82.85714285714286,81.50833333333334,82.29333333333335,83.55892770198807
2025-12-01,84.0,78.0,82.1,82.14285714285714,80.625,81.56,83.22684509340351
