kelly_fraction,min_edge,k_factor,home_advantage,roi,sharpe,win_rate,bets_made
0.75,0.05,20,75,1106.203169232931,4.212730476351751,57.14285714285714,70
0.75,0.05,20,100,23.113673455032334,0.8410266903344451,57.57575757575758,66
0.75,0.05,20,125,333.9520970519326,2.9232911167049465,61.42857142857143,70
0.75,0.05,24,75,42.587251804918495,1.5493138735304868,53.96825396825397,63
0.75,0.05,24,100,311.24193547114925,4.05106756458532,70.0,60
0.75,0.05,24,125,261.2617091615115,2.7333292521509045,62.5,64
0.75,0.08,16,75,148.78475315304735,4.9611578410934065,58.333333333333336,24
0.75,0.08,16,100,2261.7939371878283,5.821358537516156,72.97297297297297,37
0.75,0.08,16,125,113.99044160546397,5.704517497039965,76.92307692307693,26
0.75,0.08,20,75,25.792158953294575,2.1121411178845406,59.25925925925925,27
0.75,0.08,20,100,-6.751508244902209,-0.1723273954877306,65.21739130434783,23
0.75,0.08,20,125,47.208309209422666,2.1576723729074696,58.620689655172406,29
0.75,0.08,24,75,335.2019712418801,3.6527204249269576,67.64705882352942,34
0.75,0.08,24,100,166.2023115896953,3.539239011703327,53.84615384615385,26
0.75,0.08,24,125,424.6426098767932,4.864255251767663,65.38461538461539,26
0.75,0.1,16,75,631.2324985183443,6.673924681167223,65.21739130434783,23
0.75,0.1,16,100,155.10668397580548,4.700163633590956,50.0,22
0.75,0.1,16,125,698.6291758879074,7.589215046830373,62.5,24
0.75,0.1,20,75,-24.804308360350934,-2.1285890260236937,46.666666666666664,15
0.75,0.1,20,100,82.32784955856255,5.638399372575455,70.58823529411765,17
0.75,0.1,20,125,215.4087286829741,4.984273000755552,65.21739130434783,23
0.75,0.1,24,75,121.67052750144333,9.196269609889011,78.57142857142857,14
0.75,0.1,24,100,-12.378617876893328,0.2279406013163624,51.85185185185185,27
0.75,0.1,24,125,-34.42802512593329,-3.197808125129695,56.52173913043478,23
