date,actual_temp,last_price,volume
2023-09-01,82.5,19,1040
2023-09-02,88.5,99,1082
2023-09-03,93.5,97,749
2023-09-04,92.5,54,378
2023-09-05,91.5,33,704
2023-09-06,82.0,50,327
2023-09-07,70.5,68,568
2023-09-08,69.5,40,592
2023-09-09,75.5,97,1575
2023-09-10,80.5,31,556
2023-09-11,70.5,93,65
2023-09-12,70.5,53,560
2023-09-13,70.5,40,1148
2023-09-14,70.5,55,306
2023-09-15,76.5,39,632
2023-09-16,71.5,38,7
2023-09-17,68.5,26,122
2023-09-18,71.5,48,192
2023-09-19,67.5,44,253
2023-09-20,80.5,97,487
2023-09-21,75.5,33,103
2023-09-22,78.5,31,598
2023-09-23,78.5,47,299
2023-09-24,76.5,51,497
2023-09-25,76.5,38,333
2023-09-26,73.5,35,675
2023-09-27,69.5,79,91
2023-09-28,70.5,20,782
2023-09-29,76.5,26,626
2023-09-30,83.5,36,487
2023-10-01,84.0,99,910
2023-10-02,85.5,37,497
2023-10-03,86.5,51,559
2023-10-04,84.5,41,18
2023-10-05,70.5,6,637
2023-10-06,61.5,46,157
2023-10-07,58.5,41,459
2023-10-08,55.5,38,2
2023-10-09,58.5,50,277
2023-10-10,63.0,99,225
2023-10-11,67.0,25,487
2023-10-12,63.0,34,749
2023-10-13,58.5,35,968
2023-10-14,56.5,88,1006
2023-10-15,59.0,16,168
2023-10-16,54.5,47,957
2023-10-17,62.5,40,1160
2023-10-18,67.5,55,938
2023-10-19,57.5,1,36
2023-10-20,59.5,58,1229
2023-10-21,64.5,41,1502
2023-10-22,58.5,40,1076
2023-10-23,67.5,93,1120
2023-10-24,80.0,90,1681
2023-10-25,67.5,85,3271
2023-10-26,71.5,31,633
2023-10-27,71.5,43,555
2023-10-28,50.5,53,866
2023-10-29,48.5,58,322
2023-10-30,43.0,99,973
2023-10-31,37.5,68,1357
2023-11-01,40.5,3,8
2023-11-02,54.0,99,506
2023-11-03,57.5,62,899
2023-11-04,58.5,60,1423
2023-11-05,60.5,39,248
2023-11-06,70.5,34,934
2023-11-07,56.5,51,4421
2023-11-08,60.5,33,1343
2023-11-09,57.0,99,641
2023-11-10,48.5,61,163
2023-11-11,51.5,49,640
2023-11-12,57.5,39,348
2023-11-13,64.0,32,1077
2023-11-14,63.5,99,782
2023-11-15,67.5,52,1723
2023-11-16,66.5,58,1645
2023-11-17,54.0,24,5
2023-11-18,52.5,97,1482
2023-11-19,53.5,99,827
2023-11-20,49.5,99,822
2023-11-21,45.5,31,1141
2023-11-22,47.5,59,1185
2023-11-23,48.5,44,852
2023-11-24,37.5,81,862
2023-11-25,38.5,36,1194
2023-11-26,34.5,30,147
2023-11-27,29.5,95,437
2023-11-28,25.5,97,2161
2023-11-29,42.5,68,1608
2023-11-30,52.0,79,2353
2023-12-01,45.5,95,1293
2023-12-02,46.5,50,682
2023-12-03,42.5,64,452
2023-12-04,41.5,64,473
2023-12-05,42.5,21,902
2023-12-06,41.5,3,1008
2023-12-07,53.5,70,1237
2023-12-08,56.5,17,1123
2023-12-09,54.0,21,500
2023-12-10,36.5,62,242
2023-12-11,37.5,39,1976
2023-12-12,39.5,76,613
2023-12-13,41.5,99,901
2023-12-14,52.5,97,427
2023-12-15,54.5,45,887
2023-12-16,48.0,99,1016
2023-12-17,44.5,30,205
2023-12-18,36.0,86,2
2023-12-19,33.5,25,1676
2023-12-20,43.5,57,853
2023-12-21,47.0,99,1848
2023-12-22,47.5,42,1004
2023-12-23,50.5,15,203
2023-12-25,55.0,99,53
2023-12-26,47.0,99,102
2023-12-27,43.0,99,100
2023-12-28,43.0,51,199
2023-12-29,43.5,69,76
2023-12-30,39.5,50,1216
2023-12-31,35.0,99,1
2024-01-01,33.5,99,40
2024-01-02,41.0,99,422
2024-01-03,37.5,57,1170
2024-01-04,37.5,37,397
2024-01-05,37.5,99,1643
2024-01-06,35.5,98,1160
2024-01-07,35.5,99,1069
2024-01-08,37.5,52,648
2024-01-09,37.5,99,1198
2024-01-10,35.0,97,626
2024-01-11,35.5,99,915
2024-01-12,38.0,99,2856
2024-01-13,28.0,0,0
2024-01-14,1.5,99,49
2024-01-15,3.5,85,267
2024-01-16,5.5,3,1106
2024-01-17,23.5,8,506
2024-01-18,26.0,99,2288
2024-01-19,16.5,45,524
2024-01-20,19.0,99,2639
2024-01-21,22.5,56,333
2024-01-22,35.0,99,547
2024-01-23,38.0,99,1238
2024-01-24,39.5,85,1890
2024-01-25,41.0,99,1053
2024-01-26,42.0,99,856
2024-01-27,41.5,53,374
2024-01-28,41.5,35,300
2024-01-29,40.5,99,714
2024-01-30,41.5,95,666
2024-01-31,40.5,92,60
2024-02-01,53.0,99,1695
2024-02-02,43.5,91,2276
2024-02-03,40.0,99,2004
2024-02-04,46.5,97,1452
2024-02-05,44.5,99,1149
2024-02-06,42.5,99,1857
2024-02-07,47.5,99,860
2024-02-08,60.0,99,663
2024-02-09,57.5,99,1593
2024-02-10,43.5,97,1006
2024-02-11,42.5,50,290
2024-02-12,45.5,64,347
2024-02-13,42.5,7,1209
2024-02-14,47.5,35,1820
2024-02-15,44.0,99,542
2024-02-16,33.5,79,1301
2024-02-17,29.5,99,1540
2024-02-18,47.0,45,442
2024-02-19,48.0,99,1080
2024-02-20,56.0,99,2567
2024-02-21,66.0,99,1557
2024-02-22,56.0,99,3165
2024-02-23,46.0,99,242
2024-02-24,35.5,99,1505
2024-02-25,60.0,99,2082
2024-02-26,71.0,99,4245
2024-02-27,73.5,15,599
2024-02-28,32.0,98,61
2024-02-29,45.5,49,296
2024-03-01,47.0,49,1624
2024-03-02,60.5,99,806
2024-03-03,74.5,30,1259
2024-03-04,72.5,95,1479
2024-03-05,44.5,99,3572
2024-03-06,50.5,39,1060
2024-03-07,49.5,81,620
2024-03-08,47.5,99,1061
2024-03-09,47.0,99,1120
2024-03-10,48.5,97,1440
2024-03-11,68.0,99,2079
2024-03-12,71.5,99,2182
2024-03-13,66.0,99,2085
2024-03-14,63.0,99,2693
2024-03-15,52.5,93,2115
2024-03-16,59.5,64,1348
2024-03-17,43.0,97,2290
2024-03-18,36.5,92,435
2024-03-19,59.0,47,2016
2024-03-20,43.0,99,2442
2024-03-21,40.5,99,1956
2024-03-22,41.0,34,1725
2024-03-23,40.5,49,2354
2024-03-24,50.0,99,3753
2024-03-25,64.0,73,3305
2024-03-26,58.5,97,439
2024-03-27,43.5,61,1035
2024-03-28,52.5,99,1757
2024-03-29,52.5,27,795
2024-03-30,63.0,97,2546
2024-03-31,51.0,99,1520
2024-04-01,50.0,99,2187
2024-04-02,46.0,99,3349
2024-04-03,39.5,97,4855
2024-04-04,43.5,11,1311
